publisher,wikidata identifier
Sara Langworthy,Q105090671
Sarah Bodman,Q124481970
Sas Colby,Q19802732
Klüser und Schellman,Q125525115
Schlebrügge.Editor,Q111359203
VCU School of the Arts,Q7906673
Schubert Club,Q7432932
Scolar Press,Q138379909
Scott Helmes,Q94279820
Scripps College Press,Q138474364
Second Story Press,Q7443566
"Self Publish, Be Happy",Q21716367
Seripress,Q130593496
Seth Siegelaub,Q3480661
Seth Siegelaub,Q3480661
Wang Shuju,Q45380995
Sidelinger,Q37013038
Silver Press,Q123914443
Smith College Museum of Art,Q14715853
Something Else Press,Q2299703
Sonnabend Gallery,Q73898673
Under the Sign of the Bull,Q3492146
Southeast Museum of Photography,Q2304653
Spector Books,Q109542531
Spiral Press,Q110280305
Spoleto Festival USA,Q5391767
Spoon Print Press,Q138379949
Springtide Press,Q138379951
Stedelijk Museum Schiedam,Q2779535
Stedelijk Museum voor Actuele Kunst,Q1540707
Van Abbemuseum,Q1782422
de Jong & Co.,Q110085581
Steidl,Q324876
Stephanie Brody-Lederman,Q28086216
Stone Bridge Press,Q3499712
Suhrkamp Verlag,Q301609
Susan Allix,Q94533728
Susan Lowdermilk,Q27983336
TVRT Press,Q130235950
Taller Leñateros,Q65084828
Taller Martin Pescador,Q138379977
Tanglewood Press,Q110280376
Tate Liverpool,Q517612
Teenage Thunder,Q7694457
Temporary Services,Q7698970
Tenfingers Press,Q138379986
Tetrad Press,Q139589587
Thames & Hudson,Q2733669
Cigu District,Q708677
The Ensemble,Q138789691
The Visual Studies Workshop,Q18159081
Theodore Press/Sarah Books,Q138379988
Third Eye Centre,Q20713828
Thomas Sowden,Q75973145
Tia Blassingame,Q98276881
Tommaso Durante,Q96981208
Toni Dove,Q7821257
Tony Rickaby,Q106694809
Tracey Bush,Q115633138
Travis M Shaffer,Q88182742
TriQuarterly,Q7839818
Turkey Press,Q138380006
Tyler School of Art,Q7860144
Ugly Duckling Presse,Q7877804
University of Carabobo,Q367429
University of Chicago Library,Q7895259
University of Chicago Press,Q1814982
University of Louisville,Q1317143
University of Rhode Island,Q1641788
University of Southern Maine,Q3244049
University of Southern Maine,Q3244049
University of Texas Press,Q4005866
University of Vermont Libraries,Q109965851
Verlag der Buchhandlung Walther König,Q122922232
Verlag der Buchhandlung Walther König,Q122922232
Vermont College of Fine Arts,Q7921694
Veronika Schäpers,Q16295241
Villa Arson,Q1107189
municipality of Reims,Q86699184
The Visual Studies Workshop,Q18159081
The Visual Studies Workshop,Q18159081
volcanic eruption,Q7692360
Warwick Harris,Q18985310
WCPR,Q7948021
Wadsworth Atheneum Museum of Art,Q403080
Walker Art Center,Q1851516
Walter Phillips Gallery,Q7965832
Warwick Press,Q138380026
National Museum of Women in the Arts,Q861608
National Museum of Women in the Arts,Q861608
Wellesley College Library,Q138507432
Westfälischer Kunstverein,Q2565288
Westfälischer Kunstverein,Q2565288
Wexford Arts Centre,Q55051753
Whitechapel Gallery,Q1814654
William Blake & Co.,Q119801839
Windhover Press,Q138380046
Writer's Center,Q8038428
Writer's Center,Q8038428
Writers & Books,Q108657544
Writers Forum,Q8038455
Xexoxial Editions,Q124122687
Yale Center for British Art,Q6352575
Yamilys Brito,Q138756094
Yerba Buena Center for the Arts,Q1884883
Z-Press,Q3543550
Association of Polish Artists and Designers,Q2513858
Zoe Beloff,Q15120962
Stedelijk Museum Amsterdam,Q924335
Aran Santamaria,Q122331648
Ashley Minner,Q120966413
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Nexus Press,Q117885051
Booklyn Artist Alliance,Q16948255
Buzz Spector,Q62061918
Centro Di,Q122921489
"Museum of Contemporary Art, Chicago",Q118142
Denise Hawrysio,Q115796036
H. Weston,Q75727093
Hans Waanders,Q105090460
Impronta Casa Editora,Q131157129
John Vasquez Mejias,Q132171603
Júlia Barata,Q114991214
Lejana Revista Crítica de Narrativa Breve,Q96724811
Magnum Photos,Q372899
Manuel Tzoc,Q130477092
Mirabelle Jones,Q130802772
Mishka Henner,Q6875557
Muriel Frega,Q133601024
Nexus Press,Q117885051
Pablo Larreta,Q126182801
Pilar Barrios,Q3821855
Pilar Álvarez Pablos,Q125377259
Rabén & Sjögren,Q2062729
Something Else Press,Q2299703
Susan Goethel Campbell,Q19802820
Ugly Duckling Presse,Q7877804
University of Iowa,Q182973
University of Southern Maine,Q3244049
The Visual Studies Workshop,Q18159081
Walker Art Center,Q1851516
Mystical Places Press,Q130474362
Mystical Places Press,Q130474362
signal-to-noise ratio,Q738628
signal-to-noise ratio,Q738628
signal-to-noise ratio,Q738628
Editions Xavier Barral,Q3579558
