creatorID,name
835,"Frank, 1987- Ocean"
836,"Pamela Pecchio"
837,"Shinro, 1955- Ohtake"
838,"Atlanta Committee for the Olympic Games"
839,"Christian, 1944- Boltanski"
840,"Anhaltische Gemäldegalerie Dessau"
841,"David, 1972- Rees"
842,"Margaret, 1941- Kaufman"
843,"Claire Van Vliet"
844,"Janus Press"
845,"Octavian Esanu"
846,"Akademie Schloss Solitude"
847,"Nils, 1966- Norman"
848,"Stefan Kalmár"
849,"Book Works (Organization)"
850,"Mr O"
851,"Alan, 1959- Rath"
852,"Milagros de la Torre"
853,"Bob Chaplin"
854,"Rainer Ganahl"
855,"Amos Paul, Jr Kennedy"
856,"Terri Weifenbach"
857,"Judy, 1944- Gelles"
858,Weproductions
859,"Leonard, 1948- Koren"
860,"Gary Panter"
861,"Deborah Dancy"
862,"Joan, 1937- Lyons"
863,"Henrik Drescher"
864,"Douglas, 1966- Gordon"
865,"Kiki, 1954- Smith"
866,"PaceWildenstein (Firm)"
867,"Clarissa T. Sligh"
868,"Enrique Chagoya"
869,"City Lights Books"
870,"Scott McCarney"
871,"Elizabeth Lide"
872,"Paul Kayhart"
873,"Paul, 1947- Auster"
874,"N.Y.) Montage 93: International Festival of the Image (1993 : Rochester"
875,"John Wood"
876,"Clifton Meador"
877,"Piotr, 1968- Uklański"
878,"Eduardo Cortils"
879,"Ana Cortils"
880,"Frédéric Bruly Bouabré"
881,"Ellsworth, 1923-2015 Kelly"
882,"Jenifer, 1948- Bar Lev"
883,"Damien Hirst"
884,"Gordon, 1948-2009 Burn"
885,"Stuart Morgan"
886,"Jonathan Barnbrook"
887,"Robert Violette"
888,"Zoe Leonard"
889,"Anne, 1962- Martens"
890,"Araiz, 1983- Mesanza"
891,"Dani García-Nieto"
892,"Rita Oliveira Dias"
893,"Misa Shine"
894,"D3A (Diego A. Acevedo)"
