citedItemKey,n,refItemKey,method,confidence,review,refTitle,citationText
3VINCA44,2,STSHFPHF,substring,0.990,,Druckworks 1972-2012 : 40 years of books and projects,"Drucker, Johanna. Druckworks 1972-2012 : 40 Years of Books and Projects. 1st ed. Chicago, Ill.: Epicenter, Center for Book and Paper Arts, 2012. pp.5, 66, 71, 78-81, 99, 101, 136."
3VINCA44,3,5JWH4AMJ,substring,0.990,,Offset : artists' books & prints.,"Freeman, Brad. Offset: Artists' Books & Prints. New York, N.Y.: Interplanetary Productions, 1993. p.19."
3ZUC8TKN,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.90, 162."
469JLCRM,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.182."
469JLCRM,2,BCG5FURQ,substring,0.990,,The century of artists' books,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.266-7, 267."
469JLCRM,3,94CKQLVX,substring,0.990,,Artists' books : a critical anthology and sourcebook,"Lyons, Joan. Artists' Books : A Critical Anthology and Sourcebook. Rochester: Visual Studies Workshop Press, 1985. p.217."
469JLCRM,4,SGBJXYRF,substring,0.990,,Esthétique du livre d'artiste 1960/1980 : une introduction à l'art contemporain,"Moeglin-Delcroix, Anne. Esthétique Du Livre D’artiste 1960/1980 : Une Introduction à L'art Contemporain. Nouv. éd. rev. et augm. Marseille: Bibliothèque nationale de France, 2012. p.434."
469JLCRM,5,FAEUXXHV,substring,0.990,,Booktrek : selected essays on artists' books (1972-2010),"Phillpot, Clive. Booktrek: Selected Essays on Artists’ Books (1972-2010). Zurich: JRP/Ringier, 2013. pp.222, 224, 225, 228, 230."
469JLCRM,6,MN3CW7FZ,substring,0.990,,Artists and their books - books and their artists,"Reed, Marcia, and Glenn Phillips. Artists and their books - books and their artists. Los Angeles: The Getty Research Institute, 2018. pp.158, 163, 208."
469JLCRM,7,JV2JKULL,substring,0.990,,Various small books : referencing various small books by Ed Ruscha,"Taylor, Phil. Various Small Books: Referencing Various Small Books by Ed Ruscha. Cambridge, Massachusetts: MIT Press, 2013. pp.27, 40, 255."
469JLCRM,8,E8MAPXUI,substring,0.990,,Learn to read art: artists' books,"Tousley, Nancy, Felipe Ehrenberg, and Sally Alatalo. Learn to Read Art: Artists' Books. Hamilton, Ont: Art Gallery of Hamilton, 1990. p.10."
4KTMAPB9,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. pp.94, 158."
58LVM8RA,1,BEGEG5AI,substring,0.950,yes,Artists books,"Lyons, Joan. Artists' Books : Visual Studies Workshop Press. Rochester: Visual Studies Workshop Press, 2009. p.149."
5GHUKILR,1,KB2E34DZ,substring,0.990,,Artist/author : contemporary artists' books,"Lauf, Cornelia. Artist/author : Contemporary Artists’ Books. New York: American Federation of Arts, 1998. pp.59, 64, 156."
5I6WDA32,1,A5RE4482,substring,0.990,,Artists' books : the book as a work of art 1963-2000,"Bury, Stephen. Artists’ Books : the Book as a Work of Art 1963-2000. London: Bernard Quaritch Ltd, 2015. p.197."
