creatorID,name,wikidata identifiers
411,"Anne, 1949- Büssow",
412,"Roger, 1959- Green",
413,Eduardo Hernández Santos,
414,"Virgilio, 1912-1979 Piñera",
415,James Christen Steward,Q112418327
416,University of Michigan. Museum of Art,
417,Norton Museum of Art,
418,Pennsylvania Academy of the Fine Arts,
419,"Lisa, 1954- Phillips",
420,"Richard, 1943- Flood",
421,"Laura J., 1962- Hoptman",
422,Massimiliano Gioni,Q1907638
423,N.Y.) New Museum (New York,
424,"Robert, 1957- Pollard",
425,"Eric, 1971- Reynolds",
426,Brandon Taylor,
427,Blanche Craig,Q19517696
428,Leslie Umberger,Q92644043
429,John Michael Kohler Arts Center,
430,"Lance, 1962- Letscher",
431,Brooke Davis Anderson,Q139033969
432,"Mimmo, 1918-2006 Rotella",
433,Meredith Malone,
434,M. Knoedler & Co,
435,Fondazione Mimmo Rotella,
436,1935- Aldwyth,
437,"Mark, 1957- Sloan",
438,Rosamond W. Purcell,Q55219295
439,Ackland Art Museum,
440,Halsey Institute of Contemporary Art,
441,Telfair Museum of Art,
442,"Cat Tuong, 1969- Nguyen",
443,Nadine Olonetzky,Q112542409
444,Burkhard Meltzer,Q130253688
445,John Baldessari 1931-,
446,Beatrix Ruf,Q4877244
447,Randel Plowman,
448,"Terry, 1952- Taylor",
449,"Kurt, 1887-1948 Schwitters",
450,Isabel Schulz,Q59610442
451,"Leah, 1964- Dickerman",
452,Tex.) Menil Collection (Houston,
453,Princeton University. Art Museum,
454,Berkeley Art Museum and Pacific Film Archive,
455,"Romare, 1911-1988 Bearden",
456,Carla M. Hanzal,
457,"Ruth, 1941- Fine",
458,N.C.) Mint Museum (Charlotte,
459,Kara Walker,Q444277
460,Olga Gambari,
461,Mario Merz,Q698877
462,Robert Klanten,Q26350656
463,Hendrik Hellige,
464,James Gallagher,
465,"John, 1932-2012 Evans",
466,Harry Callahan,Q1383354
467,Julian Cox,
468,Pace/MacGill,
469,Christiane zu Salm,Q1082723
470,Cornelius Borck,Q71548188
471,"Uta, 1965- Grundmann",
472,Berlinische Galerie,
473,1923-2004 Jess,
474,"Michael, 1953- Duncan",
475,"Robert, 1919-1988 Duncan",
476,Bettina Hubby,Q27449496
477,Dave (Writer on art) Cull,
478,Robert Motherwell,Q165275
479,"Susan, 1958- Davidson",
480,Megan M. Fontanella,
481,Jeffrey Warda,
482,Peggy Guggenheim Collection,
483,Solomon R. Guggenheim Museum,
484,"Helmut, 1953- Middendorf",
485,Marina Fokidis,
486,Eleni Koroneou Gallery,
487,Louis S. Warren,Q6688111
488,Janet Catherine Berlo,Q6153247
489,"Simon, 1972- Evans",
490,Elodie Evers,Q130833357
491,Dawn Adès,Q27663070
492,Emily Butler,
493,Daniel F. Herrmann,
494,Whitechapel Art Gallery,
495,"Sterling, 1972- Ruby",
496,Danielle Krysa,
497,Karin Breuer ; with Kerry Brougher and D. J. Waldie,
498,Brian D. Tripp,Q114783719
