title,authors,zotero_item_id,google_books_id,google_books_url
"Only child","Bloch, Ricardo; Workshop, Visual Studies",9296,eI1JAQAAIAAJ,https://books.google.com/books?id=eI1JAQAAIAAJ
Oostamera,"Emanuel, Martin",15378,Vx9QAQAAIAAJ,https://books.google.com/books?id=Vx9QAQAAIAAJ
"Opinions of working people concerning the arts","Celender, Don; O. K. Harris Gallery (New York, N. Y. )|",12138,BOWZGQAACAAJ,https://books.google.com/books?id=BOWZGQAACAAJ
"Opus ciudad","Ríos, Marialva; Vigía, Ediciones; García Blanco, Reynaldo",9295,oAKfoAEACAAJ,https://books.google.com/books?id=oAKfoAEACAAJ
"Otherspace : martian ty/opography","Freeman, Brad; Drucker, Johanna; Press, Nexus",12132,hWRQAAAAMAAJ,https://books.google.com/books?id=hWRQAAAAMAAJ
"Otro yo","Alderete, Dr.",12131,U5PNngEACAAJ,https://books.google.com/books?id=U5PNngEACAAJ
"Otro yo","Alderete, Dr.",12131,XMRZngEACAAJ,https://books.google.com/books?id=XMRZngEACAAJ
"Ozone alert","Wood, John; Workshop, Visual Studies",12129,wG9FPQAACAAJ,https://books.google.com/books?id=wG9FPQAACAAJ
"P.H. Polk, photographs","Cleage, Pearl; Polk, P",11521,aln5QwAACAAJ,https://books.google.com/books?id=aln5QwAACAAJ
Pacing,"Alÿs, Francis",10063,1RL8oAEACAAJ,https://books.google.com/books?id=1RL8oAEACAAJ
"Paisajes históricos urbanos de la ciudad de Matanzas","Ríos, Marialva; Vigía, Ediciones; González Arestuche, Luis",12125,z_2JoAEACAAJ,https://books.google.com/books?id=z_2JoAEACAAJ
"Palpung Parkhang ; Kandze Village bodhisattva ; Dzogchen village home","Columbia College (Chicago, Ill ) Center for Book & Paper Arts |; Meador, Clifton",14488,g0VDlwEACAAJ,https://books.google.com/books?id=g0VDlwEACAAJ
"Pandora's book : poems by Charles Simic, Aleksandar Ristovic and Josh Hockensmith","Hockensmith, Josh; Ristović, Aleksandar; Simic, Charles",12397,2gYeHAAACAAJ,https://books.google.com/books?id=2gYeHAAACAAJ
Panorama,"Chen, Julie; Hillesheim, Alan",15198,Tx65OgAACAAJ,https://books.google.com/books?id=Tx65OgAACAAJ
"Para tomar medidas micropoéticas","Pérez Grobet, Ximena; Ajo.",9345,Igg0MwEACAAJ,https://books.google.com/books?id=Igg0MwEACAAJ
"Para ver antes de ir a la cama : (tædium vitæ)","Ranc, Carlos",9897,4TbEAAAACAAJ,https://books.google.com/books?id=4TbEAAAACAAJ
Parallax,"Press.|, Nexus; Chance, Karen",10243,FZmeGAAACAAJ,https://books.google.com/books?id=FZmeGAAACAAJ
Parallax,"Chance, Karen",15467,FZmeGAAACAAJ,https://books.google.com/books?id=FZmeGAAACAAJ
Partitions,"Apple, Jacki",9737,34iYGQAACAAJ,https://books.google.com/books?id=34iYGQAACAAJ
Partitura,"Devis, Ana; Arte Dos Gráfico (Firm : Bogotá, Colombia)|",9688,nsgtPQAACAAJ,https://books.google.com/books?id=nsgtPQAACAAJ
Pasaporte,"Paz, Beatriz; Camacho, Daniela; Litvinova, Natalia",9344,vSSengEACAAJ,https://books.google.com/books?id=vSSengEACAAJ
Passage,"Hagstrom, Fred; Clarkson, Thomas; Mott, Abigail",11541,FVVNnwEACAAJ,https://books.google.com/books?id=FVVNnwEACAAJ
Passport,"King, Susan; Women's Graphic Center (Los Angeles, Calif )|",11543,IDqDtgAACAAJ,https://books.google.com/books?id=IDqDtgAACAAJ
"Patterns : divided, mirrored, repeated","Richter, Gerhard",9892,lnIoLgEACAAJ,https://books.google.com/books?id=lnIoLgEACAAJ
"Paula Rae Gibson (fear I know not) I'll always walk away","Gibson, Paula",9660,LKP2MgEACAAJ,https://books.google.com/books?id=LKP2MgEACAAJ
