itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,collections
3700,GIYZGQW3,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","In celebration of book art",,"1980-00-00 1980","School of Arts, VCU",VA,,,,,,,,,,,,,,,,,,"ID: VCU_ALMA21351645860001101",,,,,"Reference resources"
3701,JQYAM7ED,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Global books: les livres d'artistes de Gervais Jassaud.",,"2007-00-00 2007","Ville de Reims",Reims,,,,,,143,,978-2-901816-30-0,,,,French,"Global books","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3702,N3MCIWXL,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Evidence of the avant garde since 1957: selected works from the collection of Art Metropole including audio tapes, records, videotapes, film, multiples, kitsch, manuscripts, stamps, buttons, flyers, posters, correspondence, catalogues, porn, t-shirts, postcards, drawings, poems, mailers, books, photographs and ephemera.",,"1984-00-00 1984","Art Metropole",Toronto,,,,,,,,0-920956-16-5,,,,English,"Evidence of the avant garde since 1957","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3703,C9CPMGHL,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Dressing the text: the fine press artists' book",,"1995-00-00 1995","Printers' Chappel of Santa Cruz","Santa Cruz, CA",,,,,,54,,,,,,English,"Dressing the text","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3704,XYQYGNN2,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Dia Al-Azzawi : a retrospective, from 1963 until tomorrow","493 pages : illustrations (chiefly color) ; 27 cm","2017-00-00 2017","Mathaf: Arab Museum of modern art","Cinisello Balsamo (MI), Italy",,,"First edition in Italy.",,,,,978-88-366-3905-2,,,,,"Dia Al-Azzawi",,,,,,,,,,"Reference resources"
3705,Z55EI6ES,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Cooking the books : Ron King and Circle Press",,"2002-00-00 2002","Circle Press","New Haven, Conn.",,,"1st ed.",,,,,0-930606-96-5,,,,,"Cooking the books",,,,,,,,,,"Reference resources"
3706,P6PLUKGC,journalArticle,"2019-07-30 19:26:39","2019-07-30 19:37:14",Conveyor.,,"2011-00-00 2011",,,,,,,,,,,,,,English,,"Open WorldCat",,,,,Conveyor.,,,,"Reference resources"
3707,5TL8QRXI,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Contemporary fine press, illustrated and artists' books.",,"1989-00-00 1989",,,,,,,,,,,,,,English,,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3708,VCY83FB6,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Contemporary fine press, illustrated & artists' books.",,"1989-00-00 1989","Granary Books","New York City",,,,"Variation: Catalog (Granary Books (Firm)) ;; 26.",,,,,,,,English,,"OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3709,5GMG2248,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Cartálogo bicentenario","115 pages : colour illustrations ; 14 x 22 cm","2013-00-00 2013","Biblioteca Nacional de Chile","Santiago, Chile",,,,,,,,,,,,,,,,,,,,,,,"Reference resources"
3710,TU76TJTL,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Books as art: August 30-October 6, 1991, Boca Raton Museum of Art.",,"1991-00-00 1991","The Museum","[Boca Raton, Fla.]",,,,,,80,,,,,,English,"Books as art","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
3711,H8Y2NJJR,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Book as artwork 1960/1972",,"2010-00-00 2010","6 deacdes Books, ;","New York",,,"2nd ed.",,,,,0-9829694-0-6,,,,,,,,,,,,,,,"Reference resources"
3712,977UYDDX,book,"2019-07-30 19:26:39","2019-07-30 19:37:14","Beyond the book: contemporary directions. Maryatt, Kitty.",,"1993-00-00 1993","Scripps College Press","[Claremont, Calif.]",,,,,,,,,,,,English,"Beyond the book","OCLC WorldCat FirstSearch",,,,,,,,,"Reference resources"
