uri,vocabularies,label_count,labels
http://id.loc.gov/authorities/subjects/sh2008111392,lcsh,1,"Sculpture, Modern -- 20th century -- Exhibitions"
http://id.loc.gov/authorities/subjects/sh2008111589,lcsh,1,Sex -- Humor
http://id.loc.gov/authorities/subjects/sh2008111710,lcsh,1,Slave trade -- Africa
http://id.loc.gov/authorities/subjects/sh2008111765,lcsh,1,"Spanish language -- Glossaries, vocabularies, etc"
http://id.loc.gov/authorities/subjects/sh2008112225,lcsh,1,Stars -- Folklore
http://id.loc.gov/authorities/subjects/sh2008112612,lcsh,1,Teenage girls -- Fiction
http://id.loc.gov/authorities/subjects/sh2008112783,lcsh,1,Toy and movable books -- Specimens
http://id.loc.gov/authorities/subjects/sh2008112898,lcsh,1,Time -- Philosophy
http://id.loc.gov/authorities/subjects/sh2008113158,lcsh,1,Utopias -- Fiction
http://id.loc.gov/authorities/subjects/sh2008113315,lcsh,1,Voyages and travels -- Juvenile literature
http://id.loc.gov/authorities/subjects/sh2008113565,lcsh,1,Women -- United States -- Social conditions
http://id.loc.gov/authorities/subjects/sh2008113677,lcsh,1,Work and family -- United States
http://id.loc.gov/authorities/subjects/sh2008113876,lcsh,1,"World War, 1939-1945 -- Registers of dead -- United States"
http://id.loc.gov/authorities/subjects/sh2008113910,lcsh,1,"World War, 1939-1945 -- Asia"
http://id.loc.gov/authorities/subjects/sh2008114395,,1,Belgium -- Maps
http://id.loc.gov/authorities/subjects/sh2008114518,,1,Buenos Aires (Argentina) -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2008115138,,1,Georgia (Republic) -- Ethnic relations
http://id.loc.gov/authorities/subjects/sh2008115597,,1,Jammu and Kashmir (India) -- Politics and government
http://id.loc.gov/authorities/subjects/sh2008115852,,1,Mexico City (Mexico) -- Social conditions
http://id.loc.gov/authorities/subjects/sh2008116017,,1,Latin America -- Relations -- United States
http://id.loc.gov/authorities/subjects/sh2008116076,,1,Los Angeles (Calif.) -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2008116077,,1,Los Angeles (Calif.) -- Social conditions
http://id.loc.gov/authorities/subjects/sh2008116322,,1,New York (N.Y.) -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2008117352,lcsh,1,Upside-down books -- Specimens
http://id.loc.gov/authorities/subjects/sh2008118168,lcsh,1,Gifts -- United States
http://id.loc.gov/authorities/subjects/sh2008118201,lcsh,1,Globalization -- Economic aspects
http://id.loc.gov/authorities/subjects/sh2008118471,lcsh,1,Guerrillas -- Bolivia
http://id.loc.gov/authorities/subjects/sh2008120890,lcsh,1,Folklore -- Cuba
http://id.loc.gov/authorities/subjects/sh2008122830,lcsh,1,Quechua Indians -- Religion
http://id.loc.gov/authorities/subjects/sh2008123037,lcsh,1,Imagination -- Juvenile fiction
http://id.loc.gov/authorities/subjects/sh2009001537,lcsh,1,Demonstrations -- Mexico
http://id.loc.gov/authorities/subjects/sh2009003409,,1,United States -- Politics and government -- 2009-2017
http://id.loc.gov/authorities/subjects/sh2009005103,lcsh,1,Malware (Computer software)
http://id.loc.gov/authorities/subjects/sh2009005892,lcsh,1,Quilts in art
http://id.loc.gov/authorities/subjects/sh2009007104,lcsh,1,Separation (Psychology) in art
http://id.loc.gov/authorities/subjects/sh2009008683,lcsh,1,Rape -- Psychological aspects
http://id.loc.gov/authorities/subjects/sh2009008905,lcsh,1,Subconsciousness in art
http://id.loc.gov/authorities/subjects/sh2009103094,lcsh,1,Human body -- Poetry
http://id.loc.gov/authorities/subjects/sh2009103111,lcsh,1,Human body -- Terminology
http://id.loc.gov/authorities/subjects/sh2009113356,lcsh,1,Abortion -- Psychological aspects
http://id.loc.gov/authorities/subjects/sh2009114048,lcsh,1,African Americans -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2009114058,lcsh,1,African Americans -- Portraits
http://id.loc.gov/authorities/subjects/sh2009114743,lcsh,1,Alzheimer's disease -- Patients -- Biography
http://id.loc.gov/authorities/subjects/sh2009115669,lcsh,1,Artists' books -- France
http://id.loc.gov/authorities/subjects/sh2009115767,lcsh,1,Art criticism -- History -- 20th century
http://id.loc.gov/authorities/subjects/sh2009115813,lcsh,1,"Art, Modern -- 21st century -- Catalogs"
http://id.loc.gov/authorities/subjects/sh2009115876,lcsh,1,"Art, Modern -- 21st century -- Periodicals"
http://id.loc.gov/authorities/subjects/sh2009115895,lcsh,1,Art -- Philosophy -- History -- 20th century
http://id.loc.gov/authorities/subjects/sh2009115980,lcsh,1,Artists' books -- United States -- Exhibitions
http://id.loc.gov/authorities/subjects/sh2009116332,lcsh,1,Authors -- Quotations
http://id.loc.gov/authorities/subjects/sh2009116377,lcsh,1,Authorship -- Philosophy
http://id.loc.gov/authorities/subjects/sh2009117403,lcsh,1,Books -- Marketing
http://id.loc.gov/authorities/subjects/sh2009118136,lcsh,1,Cactus -- Pictorial works
http://id.loc.gov/authorities/subjects/sh2009118588,lcsh,1,Celebrities -- Quotations
http://id.loc.gov/authorities/subjects/sh2009118752,lcsh,1,Censorship -- Fiction
