cluster,labels,include,conceptId,category,prefLabel,exactMatch,note
http://id.worldcat.org/fast/1205362.,Chile,y,chile,geographic,Chile,,auto-seeded draft; review
http://id.worldcat.org/fast/1246236.,Chile -- Araucanía,y,chile-araucan-a,geographic,Chile -- Araucanía,,auto-seeded draft; review
none|chile-history-1973-1988-in-art,Chile -- History -- 1973-1988 -- In art,y,chile-history-1973-1988-in-art,geographic,Chile -- History -- 1973-1988 -- In art,,auto-seeded draft; review
none|chile-history-21st-century,Chile -- History -- 21st century,y,chile-history-21st-century,geographic,Chile -- History -- 21st century,,auto-seeded draft; review
none|chile-history-coup-d-tat-1973-in-art,"Chile -- History -- Coup d'état, 1973 -- In art",y,chile-history-coup-d-tat-1973-in-art,geographic,"Chile -- History -- Coup d'état, 1973 -- In art",,auto-seeded draft; review
none|chile-history-coup-d-tat-1973-miscellanea,"Chile -- History -- Coup d'état, 1973 -- Miscellanea",y,chile-history-coup-d-tat-1973-miscellanea,geographic,"Chile -- History -- Coup d'état, 1973 -- Miscellanea",,auto-seeded draft; review
none|chile-politics-and-government-in-art,Chile -- Politics and government -- In art,y,chile-politics-and-government-in-art,geographic,Chile -- Politics and government -- In art,,auto-seeded draft; review
none|chile-politics-and-government-miscellanea,Chile -- Politics and government -- Miscellanea,y,chile-politics-and-government-miscellanea,geographic,Chile -- Politics and government -- Miscellanea,,auto-seeded draft; review
none|chile-social-conditions-21st-century,Chile -- Social conditions -- 21st century,y,chile-social-conditions-21st-century,geographic,Chile -- Social conditions -- 21st century,,auto-seeded draft; review
http://id.worldcat.org/fast/1206073.,China,y,china,geographic,China,,auto-seeded draft; review
http://id.worldcat.org/fast/1205740.,China -- Beijing,y,china-beijing,geographic,China -- Beijing,,auto-seeded draft; review
http://id.worldcat.org/fast/1316233.,China -- Beijing -- Tian'an Men,y,china-beijing-tian-an-men,geographic,China -- Beijing -- Tian'an Men,,auto-seeded draft; review
none|china-foreign-relations-albania-pictorial-works,China -- Foreign relations -- Albania -- Pictorial works,y,china-foreign-relations-albania-pictorial-works,geographic,China -- Foreign relations -- Albania -- Pictorial works,,auto-seeded draft; review
http://id.worldcat.org/fast/1232826.,China -- Garze Zangzu Zizhizhou,y,china-garze-zangzu-zizhizhou,geographic,China -- Garze Zangzu Zizhizhou,,auto-seeded draft; review
none|china-history-tiananmen-square-incident-1989-press-coverage,"China -- History -- Tiananmen Square Incident, 1989 -- Press coverage",y,china-history-tiananmen-square-incident-1989-press-coverage,geographic,"China -- History -- Tiananmen Square Incident, 1989 -- Press coverage",,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh85024186.,China -- Social life and customs,y,china-social-life-and-customs,geographic,China -- Social life and customs,,auto-seeded draft; review
http://id.worldcat.org/fast/1328820.,China -- Suzhou (Jiangsu Sheng),y,china-suzhou-jiangsu-sheng,geographic,China -- Suzhou (Jiangsu Sheng),,auto-seeded draft; review
http://id.worldcat.org/fast/1212006.,China -- Xinjiang Uygur Zizhiqu,y,china-xinjiang-uygur-zizhiqu,geographic,China -- Xinjiang Uygur Zizhiqu,,auto-seeded draft; review
http://id.worldcat.org/fast/1205916.,Colombia,y,colombia,geographic,Colombia,,auto-seeded draft; review
http://id.worldcat.org/fast/1204897.,Colombia -- Bogotá,y,colombia-bogot,geographic,Colombia -- Bogotá,,auto-seeded draft; review
none|colombia-pictorial-works,Colombia -- Pictorial works,y,colombia-pictorial-works,geographic,Colombia -- Pictorial works,,auto-seeded draft; review
none|colombia-politics-and-government-caricatures-and-cartoons,Colombia -- Politics and government -- Caricatures and cartoons,y,colombia-politics-and-government-caricatures-and-cartoons,geographic,Colombia -- Politics and government -- Caricatures and cartoons,,auto-seeded draft; review
http://id.worldcat.org/fast/1205688.,Connecticut,y,connecticut,geographic,Connecticut,,auto-seeded draft; review
none|corner-brook-n-l,Corner Brook (N.L.),y,corner-brook-n-l,geographic,Corner Brook (N.L.),,auto-seeded draft; review
none|cotswold-hills-england-description-and-travel,Cotswold Hills (England) -- Description and travel,y,cotswold-hills-england-description-and-travel,geographic,Cotswold Hills (England) -- Description and travel,,auto-seeded draft; review
none|crux-constellation,Crux (Constellation),y,crux-constellation,geographic,Crux (Constellation),,auto-seeded draft; review
http://id.worldcat.org/fast/1205805.,Cuba,y,cuba,geographic,Cuba,,auto-seeded draft; review
fast|cuba,Cuba,y,cuba,geographic,Cuba,,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh85034549.,Cuba -- Civilization -- African influences,y,cuba-civilization-african-influences,geographic,Cuba -- Civilization -- African influences,,auto-seeded draft; review
none|cuba-description-and-travel,Cuba -- Description and travel,y,cuba-description-and-travel,geographic,Cuba -- Description and travel,,auto-seeded draft; review
http://id.worldcat.org/fast/1205198.,Cuba -- Havana,y,cuba-havana,geographic,Cuba -- Havana,,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh85034561.,Cuba -- History,y,cuba-history,geographic,Cuba -- History,,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh85034569.,Cuba -- History -- 1878-1895,y,cuba-history-1878-1895,geographic,Cuba -- History -- 1878-1895,,auto-seeded draft; review
none|cuba-imperialism,Cuba -- Imperialism,y,cuba-imperialism,geographic,Cuba -- Imperialism,,auto-seeded draft; review
http://id.worldcat.org/fast/1231371.,Cuba -- Matanzas,y,cuba-matanzas,geographic,Cuba -- Matanzas,,auto-seeded draft; review
none|cuba-pictorial-works,Cuba -- Pictorial works,y,cuba-pictorial-works,geographic,Cuba -- Pictorial works,,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh85034593.,Cuba -- Politics and government,y,cuba-politics-and-government,geographic,Cuba -- Politics and government,,auto-seeded draft; review
http://id.loc.gov/authorities/subjects/sh85034594.,Cuba -- Politics and government -- 1810-1899,y,cuba-politics-and-government-1810-1899,geographic,Cuba -- Politics and government -- 1810-1899,,auto-seeded draft; review
none|cumberland-island-ga,Cumberland Island (Ga.),y,cumberland-island-ga,geographic,Cumberland Island (Ga.),,auto-seeded draft; review
http://id.worldcat.org/fast/1256743.,Czech Republic,y,czech-republic,geographic,Czech Republic,,auto-seeded draft; review
none|death-valley-calif-and-nev-pictorial-works,Death Valley (Calif. and Nev.) -- Pictorial works,y,death-valley-calif-and-nev-pictorial-works,geographic,Death Valley (Calif. and Nev.) -- Pictorial works,,auto-seeded draft; review
(DE-576)208896201,Deutschland,y,deutschland,geographic,Deutschland,,auto-seeded draft; review
http://id.worldcat.org/fast/1860481.,Earth (Planet),y,earth-planet,geographic,Earth (Planet),,auto-seeded draft; review
none|earth-planet-orbit-pictorial-works,Earth (Planet) -- Orbit -- Pictorial works,y,earth-planet-orbit-pictorial-works,geographic,Earth (Planet) -- Orbit -- Pictorial works,,auto-seeded draft; review
http://id.worldcat.org/fast/1245079.,Eastern Europe,y,eastern-europe,geographic,Eastern Europe,,auto-seeded draft; review
http://id.worldcat.org/fast/1208755.,Egypt,y,egypt,geographic,Egypt,,auto-seeded draft; review
http://id.worldcat.org/fast/1205204.,Egypt -- Cairo,y,egypt-cairo,geographic,Egypt -- Cairo,,auto-seeded draft; review
http://id.worldcat.org/fast/1919583.,Egypt -- Cairo -- Maydān al-Taḥrīr,y,egypt-cairo-mayd-n-al-ta-r-r,geographic,Egypt -- Cairo -- Maydān al-Taḥrīr,,auto-seeded draft; review
none|egypt-description-and-travel,Egypt -- Description and travel,y,egypt-description-and-travel,geographic,Egypt -- Description and travel,,auto-seeded draft; review
none|egypt-history-21st-century,Egypt -- History -- 21st century,y,egypt-history-21st-century,geographic,Egypt -- History -- 21st century,,auto-seeded draft; review
none|egypt-history-protests-2011,"Egypt -- History -- Protests, 2011-",y,egypt-history-protests-2011,geographic,"Egypt -- History -- Protests, 2011-",,auto-seeded draft; review
