cluster,authorityURI,schemes,tags,recs,labels
lcsh|artists-books-canada,,lcsh,650,7,Artists' books -- Canada
lcsh|artists-books-competitions-georgia,,lcsh,650,7,Artists' books -- Competitions -- Georgia
lcsh|artists-books-england-london,,lcsh,650,7,Artists' books -- England -- London
lcsh|chapbooks-mexican-specimens,,lcsh,650,7,"Chapbooks, Mexican -- Specimens"
lcsh|food-in-art,,lcsh,650,7,Food in art
lcsh|photography-artistic-21st-century,,lcsh,650,7,"Photography, Artistic -- 21st century"
lcsh|prints-mexican-21st-century,,lcsh,650,7,"Prints, Mexican -- 21st century"
lcsh|small-press-books-mexico-specimens,,lcsh,650,7,Small press books -- Mexico -- Specimens
lcsh|women,,lcsh,650,7,Women
lcsh|zines-chile-21st-century-specimens,,lcsh,650,7,Zines -- Chile -- 21st century -- Specimens
http://id.loc.gov/authorities/subjects/sh2008006774.,http://id.loc.gov/authorities/subjects/sh2008006774.,lcsh,650,6,Vernacular photography
http://id.loc.gov/authorities/subjects/sh85007089.,http://id.loc.gov/authorities/subjects/sh85007089.,lcsh,650,6,Argentine poetry
http://id.loc.gov/authorities/subjects/sh85028596.,http://id.loc.gov/authorities/subjects/sh85028596.,lcsh,650,6,Color in art
http://id.loc.gov/authorities/subjects/sh85078533.,http://id.loc.gov/authorities/subjects/sh85078533.,lcsh,650,6,Love in art
http://id.loc.gov/authorities/subjects/sh96011526.,http://id.loc.gov/authorities/subjects/sh96011526.,lcsh,650,6,Feminism in art
http://id.loc.gov/authorities/subjects/sh97000669.,http://id.loc.gov/authorities/subjects/sh97000669.,lcsh,650,6,Racism in art
http://id.loc.gov/authorities/subjects/sh97001002.,http://id.loc.gov/authorities/subjects/sh97001002.,lcsh,650,6,Geometry in art
http://id.loc.gov/authorities/subjects/sh97001912.,http://id.loc.gov/authorities/subjects/sh97001912.,lcsh,650,6,Letter writing in art
http://id.loc.gov/authorities/subjects/sh97002102.,http://id.loc.gov/authorities/subjects/sh97002102.,lcsh,650,6,Memory in art
http://id.worldcat.org/fast/1000149.,http://id.worldcat.org/fast/1000149.,fast,650,6,"Literature, Experimental"
http://id.worldcat.org/fast/1002807.,http://id.worldcat.org/fast/1002807.,fast,650,6,Love in art
http://id.worldcat.org/fast/1015959.,http://id.worldcat.org/fast/1015959.,fast,650,6,Memory in art
http://id.worldcat.org/fast/1086652.,http://id.worldcat.org/fast/1086652.,fast,650,6,Racism in art
http://id.worldcat.org/fast/1170082.,http://id.worldcat.org/fast/1170082.,fast,650,6,Walking in art
