canonicalKey,cluster,rawLabel,normLabel,authority
H336C8I5,http://id.loc.gov/authorities/subjects/sh85032432.,Copy art,copy-art,http://id.loc.gov/authorities/subjects/sh85032432
XQCAGBFA,http://id.loc.gov/authorities/subjects/sh85032432.,Copy art,copy-art,http://id.loc.gov/authorities/subjects/sh85032432
ZQ65SDKJ,http://id.loc.gov/authorities/subjects/sh85032661.,Corn -- Folklore,corn-folklore,http://id.loc.gov/authorities/subjects/sh85032661
ZSIHGLFW,http://id.loc.gov/authorities/subjects/sh85032960.,"Corporations, American -- Corrupt practices",corporations-american-corrupt-practices,http://id.loc.gov/authorities/subjects/sh85032960
ZW723DS9,http://id.loc.gov/authorities/subjects/sh85033146.,Cosmic dust,cosmic-dust,http://id.loc.gov/authorities/subjects/sh85033146
ZW723DS9,http://id.loc.gov/authorities/subjects/sh85033169.,Cosmology,cosmology,http://id.loc.gov/authorities/subjects/sh85033169
6AS73ERV,http://id.loc.gov/authorities/subjects/sh85033274.,Clothing and dress in art,clothing-and-dress-in-art,http://id.loc.gov/authorities/subjects/sh85033274
AGAIEC4G,http://id.loc.gov/authorities/subjects/sh85033274.,Clothing and dress in art,clothing-and-dress-in-art,http://id.loc.gov/authorities/subjects/sh85033274
NEIV6P5W,http://id.loc.gov/authorities/subjects/sh85033274.,Clothing and dress in art,clothing-and-dress-in-art,http://id.loc.gov/authorities/subjects/sh85033274
TCHNBR6R,http://id.loc.gov/authorities/subjects/sh85033274.,Clothing and dress in art,clothing-and-dress-in-art,http://id.loc.gov/authorities/subjects/sh85033274
PVQIAWIQ,http://id.loc.gov/authorities/subjects/sh85033596.,Courtship,courtship,http://id.loc.gov/authorities/subjects/sh85033596
AEE6D88I,http://id.loc.gov/authorities/subjects/sh85033667,Cows in art,cows-in-art,http://id.loc.gov/authorities/subjects/sh85033667
CJMLGQLV,http://id.loc.gov/authorities/subjects/sh85033823.,Creation,creation,http://id.loc.gov/authorities/subjects/sh85033823
28LWGHHQ,http://id.loc.gov/authorities/subjects/sh85033827,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
ACUZ3QPW,http://id.loc.gov/authorities/subjects/sh85033827,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
EPKK4XTP,http://id.loc.gov/authorities/subjects/sh85033827,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
4TNQ9JZT,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
5DKQPFEP,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
5PP67AWQ,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
7N9JFIBY,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
GJNKPL29,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
PUXWPPDT,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
W9YUT4CF,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
ZB5QETPU,http://id.loc.gov/authorities/subjects/sh85033827.,"Creation (Literary, artistic, etc.)",creation-literary-artistic-etc,http://id.loc.gov/authorities/subjects/sh85033827
28LWGHHQ,http://id.loc.gov/authorities/subjects/sh85033828,Creation in art,creation-in-art,http://id.loc.gov/authorities/subjects/sh85033828
ACUZ3QPW,http://id.loc.gov/authorities/subjects/sh85033828,Creation in art,creation-in-art,http://id.loc.gov/authorities/subjects/sh85033828
KRQWR5FB,http://id.loc.gov/authorities/subjects/sh85034149.,Criticism,criticism,http://id.loc.gov/authorities/subjects/sh85034149
3Q5EQVVJ,http://id.loc.gov/authorities/subjects/sh85034549.,Cuba -- Civilization -- African influences,cuba-civilization-african-influences,http://id.loc.gov/authorities/subjects/sh85034549
L8RU7JQF,http://id.loc.gov/authorities/subjects/sh85034561.,Cuba -- History,cuba-history,http://id.loc.gov/authorities/subjects/sh85034561
3XZCC9CU,http://id.loc.gov/authorities/subjects/sh85034569.,Cuba -- History -- 1878-1895,cuba-history-1878-1895,http://id.loc.gov/authorities/subjects/sh85034569
L8RU7JQF,http://id.loc.gov/authorities/subjects/sh85034593.,Cuba -- Politics and government,cuba-politics-and-government,http://id.loc.gov/authorities/subjects/sh85034593
