cluster,authorityURI,schemes,tags,recs,labels
lcgft|toy-and-movable-books,,lcgft,655,5,Toy and movable books | Toy and movable books.
local|french,,local,655,5,French
rbpri|miniature-books-printing,,rbpri,655,5,Miniature books (Printing)
(CStmoGRI)aatgf300123016,(CStmoGRI)aatgf300123016,aat,655,4,artists' books (books)
(OCoLC)fst01423874.,(OCoLC)fst01423874.,fast,655,4,Pictorial works.
aat|artists-periodicals,,aat,655,4,Artists' periodicals
aat|concrete-poetry,,aat,655,4,Concrete poetry | concrete poetry. | Concrete poetry.
aat|copy-art,,aat,655,4,Copy art. | Copy art
aat|cut-paper-work,,aat,655,4,Cut-paper work.
aat|etchings,,aat,655,4,Etchings | Etchings.
aat|handmade-paper,,aat,655,4,Handmade paper.
aat|lithographs,,aat,655,4,Lithographs | Lithographs.
aat|offset-lithographs,,aat,655,4,Offset lithographs | offset lithographs.
aat|offset-lithography,,aat,655,4,Offset lithography. | Offset lithography
aat|poetry,,aat,655,4,poetry.
aat|shaped-books,,aat,655,4,Shaped books | Shaped books.
aat|side-stitching,,aat,655,4,Side stitching.
aat|stamping-marking,,aat,655,4,Stamping (marking) | Stamping (marking).
aat|staple-bindings,,aat,655,4,Staple bindings.
aat|thread,,aat,655,4,Thread.
fast|exhibition-catalogs,,fast,655,4,Exhibition catalogs
http://id.loc.gov/authorities/genreForms/gf2014026047.,http://id.loc.gov/authorities/genreForms/gf2014026047.,lcgft,655,4,Autobiographies.
http://id.loc.gov/authorities/genreForms/gf2014026084.,http://id.loc.gov/authorities/genreForms/gf2014026084.,lcgft,655,4,Derivative works.
http://id.loc.gov/vocabulary/rbmscv/cv00514.,http://id.loc.gov/vocabulary/rbmscv/cv00514.,rbmscv,655,4,Dust jackets.
http://id.worldcat.org/fast/1423704.,http://id.worldcat.org/fast/1423704.,fast,655,4,Maps.
http://id.worldcat.org/fast/1423877.,http://id.worldcat.org/fast/1423877.,fast,655,4,Handbooks and manuals.
http://id.worldcat.org/fast/1423910.,http://id.worldcat.org/fast/1423910.,fast,655,4,Adaptations.
http://id.worldcat.org/fast/1726740.,http://id.worldcat.org/fast/1726740.,fast,655,4,Short stories.
http://id.worldcat.org/fast/2003288.,http://id.worldcat.org/fast/2003288.,fast,655,4,Correspondence.
http://vocab.getty.edu/aat/300014224.,http://vocab.getty.edu/aat/300014224.,aat,655,4,Cardboard.
http://vocab.getty.edu/aat/300045643.,http://vocab.getty.edu/aat/300045643.,aat,655,4,Boxes (containers)
http://vocab.getty.edu/aat/300411543.,http://vocab.getty.edu/aat/300411543.,aat,655,4,Handmade paper.
https://homosaurus.org/v4/homoit0001321.,https://homosaurus.org/v4/homoit0001321.,homoit,650,4,Social media.
https://id.loc.gov/authorities/genreForms/gf2014026142,https://id.loc.gov/authorities/genreForms/gf2014026142,lcgft,655,4,Personal narratives.
lcgft|feature-films,,lcgft,655,4,Feature films.
lcgft|periodicals,,lcgft,655,4,Periodicals.
none|exhibition-catalogs,,,655,4,Exhibition catalogs. | Exhibition catalogs
rbgenr|concrete-poems,,rbgenr,655,4,Concrete poems | Concrete poems.
rbmscv|comic-books,,rbmscv,655,4,Comic books
rbmscv|inscriptions,,rbmscv,655,4,Inscriptions | Inscriptions.
rbmscv|unique-books,,rbmscv,655,4,Unique books | Unique books.
rvmgf|poe-sie,,rvmgf,655,4,Poésie.
(DE-576)209726091,(DE-576)209726091,gnd-content,655,3,Aufsatzsammlung
(DE-576)209847085,(DE-576)209847085,gnd-content,655,3,Pressendruck
(DE-588)4143413-4,(DE-588)4143413-4,gnd-content,655,3,Aufsatzsammlung
(DE-588)4159043-0,(DE-588)4159043-0,gnd-content,655,3,Pressendruck
(DE-627)105488402,(DE-627)105488402,gnd-content,655,3,Pressendruck
(DE-627)105605727,(DE-627)105605727,gnd-content,655,3,Aufsatzsammlung
(OCoLC)fst01423702,(OCoLC)fst01423702,fast,655,3,Art. | Art
(OCoLC)fst01919896,(OCoLC)fst01919896,fast,655,3,Biographies
aat|art-photography,,aat,650,3,art photography | art photography.
aat|blind-embossing,,aat,655,3,Blind embossing.
aat|collages-visual-works,,aat,655,3,Collages (visual works)
aat|comics,,aat,655,3,Comics.
aat|die-cutting,,aat,655,3,Die cutting | Die-cutting.
aat|drawings-visual-works,,aat,655,3,Drawings (visual works)
aat|exhibition-catalogs,,aat,655,3,Exhibition catalogs | Exhibition catalogs. | exhibition catalogs.
aat|handwriting,,aat,655,3,Handwriting.
aat|inkjet-prints,,aat,655,3,Inkjet prints. | Inkjet prints
aat|movable-books,,aat,655,3,Movable books | Movable books.
aat|offset-printing,,aat,655,3,Offset printing. | Offset printing
aat|performance-art-documents,,aat,655,3,Performance art documents.
aat|periodicals,,aat,655,3,Periodicals | periodicals.
aat|pigment-prints,,aat,655,3,Pigment prints | Pigment prints.
aat|poems,,aat,655,3,Poems | poems.
aat|transparent-paper,,aat,655,3,Transparent paper. | transparent paper.
aat|woodcuts-prints,,aat,655,3,Woodcuts (prints) | woodcuts (prints)
http://id.loc.gov/authorities/genreForms/gf2014026133.,http://id.loc.gov/authorities/genreForms/gf2014026133.,lcgft,655,3,Notebooks.
http://id.loc.gov/authorities/genreForms/gf2014026339,http://id.loc.gov/authorities/genreForms/gf2014026339,lcgft,655,3,Fiction
http://id.loc.gov/authorities/genreForms/gf2017027262.,http://id.loc.gov/authorities/genreForms/gf2017027262.,lcgft,655,3,Sketchbooks.
http://id.loc.gov/authorities/genreForms/gf2022026082.,http://id.loc.gov/authorities/genreForms/gf2022026082.,lcgft,655,3,Accordion fold books.
http://id.loc.gov/vocabulary/rbmscv/cv00176.,http://id.loc.gov/vocabulary/rbmscv/cv00176.,rbmscv,655,3,Authors' autographs.
http://id.loc.gov/vocabulary/rbmscv/cv01163.,http://id.loc.gov/vocabulary/rbmscv/cv01163.,rbmscv,655,3,Concrete poems.
http://id.worldcat.org/fast/1423765.,http://id.worldcat.org/fast/1423765.,fast,655,3,Case studies.
http://id.worldcat.org/fast/1423794.,http://id.worldcat.org/fast/1423794.,fast,655,3,Diaries.
http://id.worldcat.org/fast/1423820.,http://id.worldcat.org/fast/1423820.,fast,655,3,"Notebooks, sketchbooks, etc."
http://id.worldcat.org/fast/1919894.,http://id.worldcat.org/fast/1919894.,fast,655,3,Autobiographies.
http://rdaregistry.info/termList/RDAMaterial/1022.,http://rdaregistry.info/termList/RDAMaterial/1022.,rdamat,340,3,metal
http://rdaregistry.info/termList/RDAMaterial/1045.,http://rdaregistry.info/termList/RDAMaterial/1045.,rdamat,340,3,wood
http://vocab.getty.edu/aat/300014076.,http://vocab.getty.edu/aat/300014076.,aat,655,3,Burlap.
http://vocab.getty.edu/aat/300028629.,http://vocab.getty.edu/aat/300028629.,aat,655,3,Scrolls (information artifacts)
http://vocab.getty.edu/aat/300041379.,http://vocab.getty.edu/aat/300041379.,aat,655,3,Lithographs.
http://vocab.getty.edu/aat/300041405.,http://vocab.getty.edu/aat/300041405.,aat,655,3,Woodcuts (prints)
http://vocab.getty.edu/aat/300053281.,http://vocab.getty.edu/aat/300053281.,aat,655,3,Screen printing.
http://vocab.getty.edu/aat/300053289.,http://vocab.getty.edu/aat/300053289.,aat,655,3,Block printing (relief printing process)
http://vocab.getty.edu/aat/300056219.,http://vocab.getty.edu/aat/300056219.,aat,655,3,Translucency.
http://vocab.getty.edu/aat/300162391.,http://vocab.getty.edu/aat/300162391.,aat,655,3,Cloth.
http://vocab.getty.edu/aat/300201033.,http://vocab.getty.edu/aat/300201033.,aat,655,3,Flip books.
http://vocab.getty.edu/aat/300257411.,http://vocab.getty.edu/aat/300257411.,aat,655,3,Cutouts.
http://vocab.getty.edu/aat/300438814.,http://vocab.getty.edu/aat/300438814.,aat,655,3,Accordion books.
https://homosaurus.org/v4/homoit0001285.,https://homosaurus.org/v4/homoit0001285.,homoit,650,3,Sexual assault.
https://homosaurus.org/v4/homoit0001378.,https://homosaurus.org/v4/homoit0001378.,homoit,650,3,Transgender people.
https://homosaurus.org/v4/homoit0002579.,https://homosaurus.org/v4/homoit0002579.,homoit,650,3,LGBTQ+ erotic art.
https://id.kb.se/term/saogf/Kataloger,https://id.kb.se/term/saogf/Kataloger,saogf,655,3,Kataloger
https://id.loc.gov/authorities/genreForms/gf2014026141,https://id.loc.gov/authorities/genreForms/gf2014026141,lcgft,655,3,Personal correspondence.
https://id.loc.gov/authorities/genreForms/gf2014026201,https://id.loc.gov/authorities/genreForms/gf2014026201,lcgft,655,3,Trivia and miscellanea.
lcgft|artistamps,,lcgft,655,3,Artistamps.
lcgft|collage,,lcgft,655,3,Collage.
lcgft|documentary-photography,,lcgft,655,3,Documentary photography.
lcgft|fiction,,lcgft,655,3,Fiction | Fiction.
lcgft|illustrated-books,,lcgft,655,3,Illustrated books.
lcgft|landscape-photography,,lcgft,655,3,Landscape photography.
lcgft|mail-art,,lcgft,655,3,Mail art.
lcgft|performance-art,,lcgft,655,3,Performance art.
lcgft|screen-prints,,lcgft,655,3,Screen prints.
lcgft|short-stories,,lcgft,655,3,Short stories. | Short stories
lcsh|paper-handmade,,lcsh,655,3,"Paper, Handmade. | Paper, handmade."
lcsh|wood,,lcsh,655,3,Wood.
local|altered-books,,local,655,3,Altered books. | Altered books
local|drawings-old-testament,,local,650,3,Drawings: Old Testament.
