cluster,labels,include,conceptId,category,prefLabel,note
http://id.loc.gov/authorities/genreForms/gf2014026123.,Lift-the-flap books.,y,moveable-element,structure-format,moveable-element,
http://id.loc.gov/authorities/genreForms/gf2014026134.,Obituaries.,y,obituary,genre-form,Obituary,
http://id.loc.gov/authorities/genreForms/gf2014026141.,Personal correspondence.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026166.,Registers (Lists),y,list,genre-form,List,
http://id.loc.gov/authorities/genreForms/gf2014026179.,Split-page books.,y,split-page-book,structure-format,Split-page book,
http://id.loc.gov/authorities/genreForms/gf2014026246.,Biographical fiction.,y,fiction,,,
http://id.loc.gov/authorities/genreForms/gf2014026297.,Drama.,n,,,,
http://id.loc.gov/authorities/genreForms/gf2014026362.,Graphic novels.,y,graphic-novel,genre-form,Graphic novel,
http://id.loc.gov/authorities/genreForms/gf2014026366.,Haiku.,y,poetry,,,
http://id.loc.gov/authorities/genreForms/gf2014026513.,Road fiction.,y,fiction,,,
http://id.loc.gov/authorities/genreForms/gf2014026583.,Utopian fiction.,y,fiction,,,
http://id.loc.gov/authorities/genreForms/gf2014026594.,Western fiction.,y,fiction,,,
http://id.loc.gov/authorities/genreForms/gf2014026912.,Love songs.,y,song,genre-form,Song,
http://id.loc.gov/authorities/genreForms/gf2015026060.,Paper dolls.,y,paper-doll,structure-format,Paper doll,
http://id.loc.gov/authorities/genreForms/gf2016026017.,Erasure poetry.,y,erasure,process-technique,Erasure,
http://id.loc.gov/authorities/genreForms/gf2016026082.,Festschriften.,y,collective-work,genre-form,Collective work,
http://id.loc.gov/authorities/genreForms/gf2016026085.,Political poetry.,y,poetry,,,
http://id.loc.gov/authorities/genreForms/gf2017027227.,Collages.,y,collage,,,
http://id.loc.gov/authorities/genreForms/gf2017027230.,Documentary photographs.,y,photography,,,
http://id.loc.gov/authorities/genreForms/gf2017027241.,Lithographs.,y,lithography,,,
http://id.loc.gov/authorities/genreForms/gf2017027258.,Screen prints.,y,screen-printing,,,
http://id.loc.gov/authorities/genreForms/gf2017027269.,Woodcuts.,y,woodblock-printing,,,
http://id.loc.gov/vocabulary/rbmscv/cv00092.,Aluminum bindings.,y,metal,material,Metal,
http://id.loc.gov/vocabulary/rbmscv/cv00176,Authors' autographs.,n,,,,
http://id.loc.gov/vocabulary/rbmscv/cv00200.,Backless bindings.,y,backless-binding,structure-format,Backless binding,
http://id.loc.gov/vocabulary/rbmscv/cv00203.,Poems.,y,poetry,,,
http://id.loc.gov/vocabulary/rbmscv/cv00483.,Coptic bindings.,y,coptic-binding,structure-format,Coptic binding,
http://id.loc.gov/vocabulary/rbmscv/cv00510.,Dos-à-dos bindings.,y,dos-a-dos-binding,,,
http://id.loc.gov/vocabulary/rbmscv/cv00618.,Printed paper binding labels.,n,,,,
http://id.loc.gov/vocabulary/rbmscv/cv00762.,Unopened books.,y,unopened-book,structure-format,Unopened book,
http://id.loc.gov/vocabulary/rbmscv/cv01089.,Watermarks.,n,,,,
http://id.loc.gov/vocabulary/rbmscv/cv01187.,Cotton fiber papers.,y,papermaking-fiber-texile,material,Papermaking fiber (textile),
http://id.loc.gov/vocabulary/rbmscv/cv01503.,Kozo fiber papers.,y,papermaking-fiber-paper-mulberry,material,Papermaking fiber (paper mulberry),
http://id.nlm.nih.gov/mesh/D019494.,Catalog.,n,,,,
http://id.worldcat.org/fast/1423683.,Abstracts.,n,,,,
http://id.worldcat.org/fast/1423772.,Conference papers and proceedings.,n,,,,
http://id.worldcat.org/fast/1423783.,Problems and exercises.,n,,,,
http://id.worldcat.org/fast/1423786.,"Glossaries, vocabularies, etc.",n,,,,
http://id.worldcat.org/fast/1423794.,Diaries.,y,diary,,,
http://id.worldcat.org/fast/1423807.,Pictorial maps.,y,map,,,
http://id.worldcat.org/fast/1423846.,Popular works.,n,,,,
http://id.worldcat.org/fast/1423871.,Guidebooks.,y,guide-manual,,,
http://id.worldcat.org/fast/1423910.,Adaptations.,y,found-text,,,
http://id.worldcat.org/fast/1726537.,Biographical fiction.,y,fiction,,,
http://id.worldcat.org/fast/1726615.,Flip books.,y,flip-book,,,
http://id.worldcat.org/fast/1726630.,Graphic novels.,y,graphic-novel,,,
http://id.worldcat.org/fast/1726662.,Love songs.,y,song,,,
http://id.worldcat.org/fast/1726770.,Video games.,y,video-game,genre-form,Video game,
http://id.worldcat.org/fast/1726776.,Western fiction.,y,fiction,,,
http://id.worldcat.org/fast/1726787.,Games.,y,game,structure-format,Game,
http://id.worldcat.org/fast/1752725.,Cookbooks.,y,cookbook,,,
http://id.worldcat.org/fast/1774325.,Fotonovelas.,y,photography,,,
http://id.worldcat.org/fast/1919915.,Death registers.,y,list,,,
http://id.worldcat.org/fast/1919922.,Essays.,n,,,,
http://id.worldcat.org/fast/1919936.,Lift-the-flap books.,y,moveable-element,,,
http://id.worldcat.org/fast/1919964.,Registers (Lists),y,list,,,
http://id.worldcat.org/fast/1919971.,Split-page books.,y,split-page-book,,,
http://id.worldcat.org/fast/1920770.,Braille books.,y,braille,,,
http://id.worldcat.org/fast/1920779.,Sayings.,n,,,,
http://id.worldcat.org/fast/1921680.,Haiku.,y,poetry,,,
http://id.worldcat.org/fast/1922530.,Road fiction.,y,fiction,,,
http://id.worldcat.org/fast/1922578.,Utopian fiction.,y,fiction,,,
http://id.worldcat.org/fast/1941036.,Festschriften.,y,collective-work,,,
http://id.worldcat.org/fast/1941319.,Paper dolls.,y,paper-doll,,,
http://id.worldcat.org/fast/1941322.,Erasure poetry.,y,erasure,,,
http://id.worldcat.org/fast/1941332.,Political poetry.,y,poetry,,,
http://id.worldcat.org/fast/1985328.,Songs and music.,y,song,,,
http://id.worldcat.org/fast/1986233.,Woodcuts.,y,woodblock-printing,,,
http://id.worldcat.org/fast/1986255.,Screen prints.,y,screen-printing,,,
http://id.worldcat.org/fast/1986256.,Collages.,y,collage,,,
http://id.worldcat.org/fast/1986261.,Lithographs.,y,lithography,,,
http://id.worldcat.org/fast/1986270.,Documentary photographs.,y,photography,,,
http://rdaregistry.info/termList/RDAMaterial/1004.,Bristol board,y,bristol-board,material,Bristol board,
http://rdaregistry.info/termList/RDAMaterial/1029.,plastic,y,plastic,material,Plastic,
http://rdaregistry.info/termList/RDAMaterial/1039.,textile,y,textile,,,
http://vocab.getty.edu/aat/300011734.,Earth (soil),y,found-object-natural,,,
http://vocab.getty.edu/aat/300011914.,Wood (plant material),y,wood,,,
http://vocab.getty.edu/aat/300014078.,Canvas (textile material),y,canvas,material,Canvas,
http://vocab.getty.edu/aat/300014130.,Rag paper.,y,rag-paper,material,Rag paper,
http://vocab.getty.edu/aat/300014249.,String (fiber product),y,string,material,String,
http://vocab.getty.edu/aat/300014614.,Blocks (shaped masses),y,blocks,structure-format,Blocks (shaped masses),
http://vocab.getty.edu/aat/300014634.,Dowels.,y,dowel,material,Dowel,
http://vocab.getty.edu/aat/300014681.,Sticks (object genre),y,found-object-natural,,,
http://vocab.getty.edu/aat/300015577.,Foldouts.,y,foldout,structure-format,Foldout,
http://vocab.getty.edu/aat/300022187.,Neo-Dada.,n,,,,
http://vocab.getty.edu/aat/300024549.,Magnets.,y,magnet,material,Magnet,
http://vocab.getty.edu/aat/300026059.,Catalogs (documents),n,,,,
http://vocab.getty.edu/aat/300026096.,Exhibition catalogs.,y,exhibition-catalog,,,
http://vocab.getty.edu/aat/300028577.,Typescripts.,n,,,,
http://vocab.getty.edu/aat/300028882.,Erotica.,n,,,,
