refKey,refTitle,bookKey,bookTitle,verbatim,decision,notes
BEGEG5AI,Artists books,M8PYCKLM,Dreamlog 1995,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.90-91.",no,
BEGEG5AI,Artists books,MDLJXCHX,Le silence Rwanda,"Lauf, Cornelia. Artist/author : Contemporary 147Artists’ Books. New York: American Federation of Arts, 1998. pp.147, 152, 158.",no,
BEGEG5AI,Artists books,MHE4CZT8,A Vision,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.51.",no,
BEGEG5AI,Artists books,MIS8VZ7H,Reading Dick and Jane with me,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.106.",no,
BEGEG5AI,Artists books,MQTJIQZ7,To Malherbe,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.151.",no,
BEGEG5AI,Artists books,MZDH5LJI,What's Happening with Momma?,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.121.",no,
BEGEG5AI,Artists books,N5B9IHZW,Birds Head Haggadah,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.34-35.",no,
BEGEG5AI,Artists books,N7VA7LBX,"Ordinary, extraordinary","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.117.",no,
BEGEG5AI,Artists books,NPILHBCK,Residue,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.40.",no,
BEGEG5AI,Artists books,NYPLITNZ,Mayan hearts,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.176-177.",no,
BEGEG5AI,Artists books,NYPZZQTR,Shadow of descent,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.94-95.",no,
BEGEG5AI,Artists books,P97248A9,L'Invitation au voyage (Invitation to a voyage),"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.173.",no,
BEGEG5AI,Artists books,PVXJ8JL7,"The Desert Speaks, Book One","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.60.",no,
BEGEG5AI,Artists books,Q677HNGB,Ingres and other parables.,"Vanderlip, Dianne Perry, John Perreault, and Lynn Lester Hershman. Artists Books. Philadelphia: [Moore College of Art?], 1973. p.37.",yes,
BEGEG5AI,Artists books,Q9RP7BWJ,Shadow play : an artists' book,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. pp.170-171.",no,
BEGEG5AI,Artists books,QKTQW8WP,"B 11226, fifty years of silence: Eugene Kellner's story","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.125.",no,
BEGEG5AI,Artists books,QVBLC3ZK,Bon bon mots: a fine assortment of books,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.70-71.",no,
BEGEG5AI,Artists books,R564734T,"""She keeps her secrets in an amber jar so the light won't fade them""","Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.85.",no,
BEGEG5AI,Artists books,RGB95LIY,Figured silks. Part one : Silk and secrecy,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.41.",no,
