lib1Key,lib1Title,twinTitle,decision,notes
VJUAH3JS,Privacidad.,Privacidad.,,
CHRACB46,Libro de anatomía,Libro de anatomía,,
NS8279DS,Pasaporte,Pasaporte,,
SPQ2RDCP,Pío : un historia de = a story by = eine Geschichte von,Pío : un historia de = a story by = eine Geschichte von,,
5DQ54GNV,Beutel Frau = Bolsa de dama,Beutel Frau = Bolsa de dama,,
SVT8GK4B,Un cuento de hadas,Un cuento de hadas,,
XEL9V72U,The loneliest man in Missouri.,The loneliest man in Missouri.,,
T57ZDULI,Martin Soto Climent : the equation of desire.,Martin Soto Climent : the equation of desire.,,
779SMV8U,NEWS,NEWS,,
6IPP9TGV,Los Alamos revisited,Los Alamos revisited,,
THIN77YE,Got a minute?,Got a minute?,,
4U68C3D8,Cantares de mal de amores,Cantares de mal de amores,,
9DRPKMDL,La flor del cactus,La flor del cactus,,
XT3TVZK2,The meadow,The meadow,,
ZUCHITL8,Tomorrow's man,Tomorrow's man,unsure,should be numbered; tomorrow's man is a series; unc has 2 through 4
PN8XVZPJ,La triste lista : apunte informativo.,La triste lista : apunte informativo.,,
YDFD9PFY,La danza de los cuerpos,La danza de los cuerpos,,
2JYUVMH2,Ariadna y las arañas bunjee,Ariadna y las arañas bunjee,,
2XCLNJHS,Melancolía,Melancolía,,
XYI9YC2E,Fábula del pollo : entendiendo la injusticia.,Fábula del pollo : entendiendo la injusticia.,,
SXD4B49D,Workers Library,Workers Library,,
MA9INPTR,"Exhibition of paintings : 2nd Johannesburg Biennale, Johannesburg Art Gallery, 1997","Exhibition of paintings : 2nd Johannesburg Biennale, Johannesburg Art Gallery, 1997",,
R9JKNNTF,Columbart manifesto = Kolumbart manifest,Columbart manifesto = Kolumbart manifest,,
A5KQ5AWI,Top secret art : catalogue #25 tank,Top secret art : catalogue #25 tank,,
PEZCBAXL,"Yo, mi desconocida","Yo, mi desconocida",,
ZKRPUPYF,Los ciclos de nadie : antología personal,Los ciclos de nadie : antología personal,,
TXTGKXWI,La llorona,La llorona,,
WAG5YMVB,Cuchillos en el aire = Knives in the air,Cuchillos en el aire = Knives in the air,,
4KC653VI,Body art : (para otras lecturas del cuerpo),Body art : (para otras lecturas del cuerpo),,
QB2D8NBC,Con duro polvo de óleo,Con duro polvo de óleo,,
KZX8VCMS,Eternidad,Eternidad,,
M7RMZLZB,Inappropriate repetitions,Inappropriate repetitions,,
P7YABPLP,I do not want to disappear silently into the night,I do not want to disappear silently into the night,,
ZW5QLLA7,Here comes kitty : a comic opera,Here comes kitty : a comic opera,,
ASFMZ2DQ,Tomorrow's man 2,Tomorrow's man 2,same,
3HXRSQYY,Versus,Versus,same,also in yes review pile; see notes there
G86DKCWU,Calavera,Calavera,same,
R3M2HHTY,AntiDoctos : concentrados de sabiduría popular.,AntiDoctos : concentrados de sabiduría popular.,,
DIYUMX8C,Hyenas of the battlefield : machines in the garden,Hyenas of the battlefield : machines in the garden,,
4FFBUX6B,Recordar el camino,Recordar el camino,,
DC6A375B,Your land/my land : election '12,Your land/my land : election '12,,
2N4EKVGN,Shirana Shahbazi : monstera,Shirana Shahbazi : monstera,same,
C6W4ITFU,Guaton Loyola vs. the world,Guaton Loyola vs. the world,,
MVUQWD8L,Un regalo para Elena,Un regalo para Elena,,
WIUR4LIW,Enjoyable conversations in Glasgow,Enjoyable conversations in Glasgow,,
T2EDYSGD,The Anderson family's proportionate relationship to various beasts,The Anderson family's proportionate relationship to various beasts,,
IL549Z67,What's happening with momma?,What's Happening with Momma?,,
CUBVR2YD,The fortune teller,The fortune teller,same,
73K2MFVS,Still.,Still.,,
QXLUBH75,Saga,Saga,,
HIFRB5YN,Fragments : from the stacked deck.,Fragments from the stacked deck /,,
