status,refKey,refTitle,bookKey,bookTitle,method,confidence,onPages,imagePages,verbatim
emitted,IFPZ7AL8,No longer innocent : book art in America : 1960-1980,CNM8P3DL,Anansi Company: a collection of thirteen hand-made wire and card rod-puppets animated in colour and verse,substring,0.990,,,"Bright, Betty. No Longer Innocent: Book Art in America, 1960-1980. New York City: Granary Books, 2005. p.xv. *Mis-cited as Ananzi and Company."
emitted,D2HD5CJR,Speaking of book art : interviews with British and American book artists,CNM8P3DL,Anansi Company: a collection of thirteen hand-made wire and card rod-puppets animated in colour and verse,substring,0.990,,,"Courtney, Cathy. Speaking of Book Art: Interviews with British and American Book Artists. Los Altos Hills, Calif: Anderson-Lovelace, 1999.pgs. 8, 13, 18-19, 226, 231."
emitted,CR3NFXSJ,"Resonance and response : artists' books from Special Collections, Wellesley College Library, June 15-18, 2005",CNM8P3DL,Anansi Company: a collection of thirteen hand-made wire and card rod-puppets animated in colour and verse,substring,0.990,"71, 87",,"Hatch, Marilyn A. Resonance and Response : Artists’ Books from Special Collections, Wellesley College Library, June 15-18, 2005. Wellesley, Mass.: Wellesley College Library, 2005. pp. 71, 87."
emitted,CR3NFXSJ,"Resonance and response : artists' books from Special Collections, Wellesley College Library, June 15-18, 2005",CPGJBFCL,Carolyn Dawn LeDrew,substring,0.990,80,24,"Hatch, Marilyn A. Resonance and Response : Artists’ Books from Special Collections, Wellesley College Library, June 15-18, 2005. Wellesley, Mass.: Wellesley College Library, 2005. pp. 24, 80."
blocked,BEGEG5AI,Artists books,CPI8VCWA,Volo-volume (Flight-volume),substring,0.950,,124,"Wasserman, Krystyna. The Book as Art : Artists’ Books from the National Museum of Women in the Arts. New York: Princeton Architectural Press, 2007. p.124."
emitted,L3HFQ2SA,Beyond the text : artists' books from the collection of Robert J. Ruben,CQ5WTKZV,Earth samplings,substring,0.990,130,131,"Ruben, Robert J. Beyond the Text: Artists' Books from the Collection of Robert J. Ruben. New York: Grolier Club, 2010. pp.130, 131."
emitted,CR3NFXSJ,"Resonance and response : artists' books from Special Collections, Wellesley College Library, June 15-18, 2005",CQID4DLM,Mexico,substring,0.990,82,37,"Hatch, Marilyn A. Resonance and Response : Artists’ Books from Special Collections, Wellesley College Library, June 15-18, 2005. Wellesley, Mass.: Wellesley College Library, 2005. pp. 37, 82."
emitted,BCG5FURQ,The century of artists' books,CQLHLDVG,Sefer Thora,substring,0.990,153,,"Drucker, Johanna. The Century of Artists’ Books. 2nd ed. New York City: Granary Books, 2004. pp.153."
emitted,MWX5EQ95,Livres d'artistes: livres-objets = Artists' books : book-objects,CQLHLDVG,Sefer Thora,substring,0.990,,,"NRA Shakespeare international. Livres d'artistes: livres-objets = Artists' books : book-objects. Paris: CERPM, 1985. [cat. entry for ""Elharar-Lemberg Sylvia""]."
emitted,XWS4XW55,500 handmade books : inspiring interpretations of a timeless form,CQMP5E8K,Seattle Skyline,substring,0.990,,54,"Tourtillott, Suzanne J. E, and Steve Miller. 500 Handmade Books: Inspiring Interpretations of a Timeless Form. New York: Lark Books, 2008. p.54."
