lib1Key,twinKey,twinLib,method,confidence,review,lib1Title,twinTitle,decision,notes
DB86D3LW,YJX3D7TH,3,fuzzy,0.990,,Stereo,Stereo,,
UXJCPNTE,G6P88MY2,3,fuzzy,0.990,,"Punzocortante : a sharp object with ability to cut, generally used as a weapon","Punzocortante : a sharp object with ability to cut, generally used as a weapon",,
PZAIVR4Z,J7X3CPIP,3,fuzzy,0.990,,Soul & psyche,Soul & psyche,,
R8CCCWWJ,JAVVTKIE,3,fuzzy,0.990,,Animal proverbs of the Grebo people of Liberia.,Animal proverbs of the Grebo people of Liberia.,,
B76AVV9G,VN89TZBV,3,fuzzy,0.990,,When we were ten : a photo/text story of a mother and her son,When we were ten : a photo/text story of a mother and her son,,
RJYCBIDD,ZB5QETPU,3,fuzzy,0.990,,"13 books : (notes on the design, construction & marketing of my last--)","13 books : (notes on the design, construction & marketing of my last--)",,
JLY4R37H,DHXWIRL9,3,fuzzy,0.990,,The fourth day : destruction of birds,The fourth day : destruction of birds,,
L9UBUAFB,D75GLLMG,3,fuzzy,0.934,,A tourist map to Japan : major air routes in Japan : voyage(r),A tourist map to Japan : major air routes in Japan  / voyage(r) by Clarissa Sligh.,,
WT3LJVAP,R8IABI8Z,2,fuzzy,0.990,,Double game,Double game,,
8HI9LLCQ,6WGTDZ7D,3,fuzzy,0.990,,To a fragmented world-- a poetics = a un mundo fragmentado-- una poética,To a fragmented world-- a poetics = a un mundo fragmentado-- una poética,,
RCB8SFZ7,22WD8W35,3,fuzzy,0.990,,Line form color,Line form color,same,
FEUU4JSU,PMT5S7EP,3,fuzzy,0.990,,Dinosaurs,Dinosaurs,same,
G4CPAXVL,WSZILAFT,3,fuzzy,0.990,,Twenty-five years ago,Twenty-five years ago,,
TPYQ6DEA,7TGG44JE,2,fuzzy,0.990,,Diplomatic passport : United States of America.,Diplomatic passport : United States of America.,,
ZSX4EAAX,V2JCB6GV,3,fuzzy,0.990,,Tender tearful spaces,Tender tearful spaces,,
HWY669W3,YHJSU6FI,3,fuzzy,0.990,,The Art/Life Institute handbook,The Art/Life Institute handbook,same,
RMIU5AMJ,JFBP43DK,3,fuzzy,0.990,,Looking.,Looking.,same,
YDQWE48C,IU8B4XC2,3,fuzzy,0.990,,A nuclear atlas,A nuclear atlas,,
DNVLI4KM,C35V4GE9,3,fuzzy,0.990,,Ten isometric drawings for ten vertical constructions,Ten isometric drawings for ten vertical constructions,,
