canonicalKey,canonicalLib,held,sourceKeys,title,date,publisher,place,ISBN,ISSN,language,numPages,edition,series,seriesNumber,callNumber,url,extra,shortTitle,creators
VCY83FB6,3,,3:VCY83FB6; 2:RKAGCKIC,"Contemporary fine press, illustrated & artists' books.",1989-00-00 1989,Granary Books,New York City,,,English,,,Variation: Catalog (Granary Books (Firm)) ;; 26.,,,,,,Granary Books (Firm)
5TL8QRXI,3,,3:5TL8QRXI; 2:7WN2F6EH,"Contemporary fine press, illustrated and artists' books.",1989-00-00 1989,,,,,English,,,,,,,,,New York Granary Books
P6PLUKGC,3,,3:P6PLUKGC; 2:3GPRE3PM,Conveyor.,2011-00-00 2011,,,,,English,,,,,,,,,Conveyor (Firm)
Z55EI6ES,3,,3:Z55EI6ES; 2:XSQAMIZ2,Cooking the books : Ron King and Circle Press,2002-00-00 2002,Circle Press,"New Haven, Conn.",0-930606-96-5,,,,1st ed.,,,,,,Cooking the books,Andrew Lambirth; Ronald King
N6FSDA5U,3,,3:N6FSDA5U; 2:5Q9RD3F3,"Counting on chance : 25 years of artists' books by Robin Price, publisher.",2010-00-00 2010,"Davison Art Center, Wesleyan University","Middletown, Conn.",,,,,,,,,,,Counting on chance,Robin Price; Betty Bright; Davison Art Center.; Clare I. Rogan; Suzy Taraba; Rutherford W. Witthus
UPS2XNZE,3,,3:UPS2XNZE; 2:JXK8B94V,Cover to cover : the artist's book in perspective,2002-00-00 2002,NAi Publishers,Rotterdam,905662282X (English edition : pbk.),,,,,,,,,,Cover to cover,Rob Perrée; De Beyerd (Art center)
EYAM3MR5,3,,3:EYAM3MR5; 2:HHWNSKJ8,Creating artists' books,2005-00-00 2005,Watson-Guptill Publications,New York,978-0-8230-1012-7,,,,,,,,,,,Sarah Bodman
PQWF9E7R,3,,3:PQWF9E7R; 2:HJGXIFMR,Creating with abandon : process in the artists' books of Angela Lorenz.,2006-00-00 2006,A. Lorenz,"Bologna, Italy?",978-88-85033-48-1,,,,,,,,,,Creating with abandon,Angela Lorenz; Brown University Library.; Fleet Library.
XNYHZ733,3,,3:XNYHZ733; 2:RBPAHJXP,Dafatir: [contemporary Iraqi book art] = Dafātir : fann al-kitāb al-`irāqī al-mu`āṣir,2007-00-00 2007,University of North Texas School of Visual Arts,Denton (Tex.,978-1-889886-08-4,,Csak angol nyelven,,,,,,,OCLC: 1014811414,Dafatir,Nada M Shabout; Janet Tyson; University of North Texas (Denton); School of Visual Arts
KK7KVWQT,3,,3:KK7KVWQT; 1:QTXK5GV3,Design Indaba,,,,,,en,,,,,,https://www.designindaba.com/,,,
